EmployeeName,Department,Salary,OverTimeHours,Date
Jane Smith,Pediatrics,59511,9,1/6/2023
Alice Johnson,Receptionist,61334,0,1/6/2023
Emily Davis,Ambulance Driver,69185,7,1/6/2023
Charles Anderson,ICU,97197,10,1/6/2023
Barbara White,Cardiology,65646,5,1/6/2023
CClerkistopher Harris,Clerk,83861,3,1/6/2023
Daniel Thompson,Neurology,72376,2,1/6/2023
Karen Garcia,Engineering,57113,0,1/6/2023
Betty Robinson,Orthopedics,75830,2,1/6/2023
James Lewis,Emergency Unit,73345,6,1/6/2023
Jessica Lee,Medical-Surgical Unit,64668,3,1/6/2023
David Walker,Gastrology,67906,5,1/6/2023
Laura Young,Dentist,88297,9,1/6/2023
Joseph King,Finance,62301,4,1/6/2023
Karen Wright,Onocology,83763,6,1/6/2023
John Doe,HR Manager,97455,3,1/7/2023
Jane Smith,Pediatrics,63733,2,1/7/2023
Alice Johnson,Receptionist,52525,10,1/7/2023
Emily Davis,Ambulance Driver,71361,0,1/7/2023
Charles Anderson,ICU,71619,4,1/7/2023
Barbara White,Cardiology,62476,10,1/7/2023
CClerkistopher Harris,Clerk,69881,4,1/7/2023
Daniel Thompson,Neurology,97922,10,1/7/2023
Karen Garcia,Engineering,58469,3,1/7/2023
Betty Robinson,Orthopedics,50237,4,1/7/2023
James Lewis,Emergency Unit,56598,3,1/7/2023
Jessica Lee,Medical-Surgical Unit,95426,5,1/7/2023
David Walker,Gastrology,72560,8,1/7/2023
Laura Young,Dentist,68482,8,1/7/2023
Joseph King,Finance,87396,6,1/7/2023
Karen Wright,Onocology,65991,8,1/7/2023
John Doe,HR Manager,88822,3,1/8/2023
Jane Smith,Pediatrics,56592,7,1/8/2023
Alice Johnson,Receptionist,63129,5,1/8/2023
Emily Davis,Ambulance Driver,53263,5,1/8/2023
Charles Anderson,ICU,62195,1,1/8/2023
Barbara White,Cardiology,57454,7,1/8/2023
