EmployeeName,Department,Salary,OverTimeHours,Date
Jane Smith,Pediatrics,59511,9,1/6/2023
Alice Johnson,Receptionist,61334,0,1/6/2023
Emily Davis,Ambulance Driver,69185,7,1/6/2023
Charles Anderson,ICU,97197,10,1/6/2023
Barbara White,Cardiology,65646,5,1/6/2023
CClerkistopher Harris,Clerk,83861,3,1/6/2023
Daniel Thompson,Neurology,72376,2,1/6/2023
Karen Garcia,Engineering,57113,0,1/6/2023
Betty Robinson,Orthopedics,75830,2,1/6/2023
James Lewis,Emergency Unit,73345,6,1/6/2023
Jessica Lee,Medical-Surgical Unit,64668,3,1/6/2023
David Walker,Gastrology,67906,5,1/6/2023
Laura Young,Dentist,88297,9,1/6/2023
Joseph King,Finance,62301,4,1/6/2023
Karen Wright,Onocology,83763,6,1/6/2023
John Doe,HR Manager,97455,3,1/7/2023
Jane Smith,Pediatrics,63733,2,1/7/2023
Alice Johnson,Receptionist,52525,10,1/7/2023
Emily Davis,Ambulance Driver,71361,0,1/7/2023
Charles Anderson,ICU,71619,4,1/7/2023
Barbara White,Cardiology,62476,10,1/7/2023
CClerkistopher Harris,Clerk,69881,4,1/7/2023
Daniel Thompson,Neurology,97922,10,1/7/2023
Karen Garcia,Engineering,58469,3,1/7/2023
Betty Robinson,Orthopedics,50237,4,1/7/2023
James Lewis,Emergency Unit,56598,3,1/7/2023
Jessica Lee,Medical-Surgical Unit,95426,5,1/7/2023
David Walker,Gastrology,72560,8,1/7/2023
Laura Young,Dentist,68482,8,1/7/2023
Joseph King,Finance,87396,6,1/7/2023
Karen Wright,Onocology,65991,8,1/7/2023
John Doe,HR Manager,88822,3,1/8/2023
Jane Smith,Pediatrics,56592,7,1/8/2023
Alice Johnson,Receptionist,63129,5,1/8/2023
Emily Davis,Ambulance Driver,53263,5,1/8/2023
Charles Anderson,ICU,62195,1,1/8/2023
Barbara White,Cardiology,57454,7,1/8/2023
CClerkistopher Harris,Clerk,93704,0,1/8/2023
Daniel Thompson,Neurology,77441,0,1/8/2023
Karen Garcia,Engineering,74455,2,1/8/2023
Betty Robinson,Orthopedics,64216,4,1/8/2023
James Lewis,Emergency Unit,75400,8,1/8/2023
Jessica Lee,Medical-Surgical Unit,71365,9,1/8/2023
David Walker,Gastrology,76412,7,1/8/2023
Laura Young,Dentist,57820,3,1/8/2023
Joseph King,Finance,60747,3,1/8/2023
Karen Wright,Onocology,67282,7,1/8/2023
John Doe,HR Manager,90991,8,1/9/2023
Jane Smith,Pediatrics,85893,7,1/9/2023
Alice Johnson,Receptionist,70006,7,1/9/2023
Emily Davis,Ambulance Driver,95475,8,1/9/2023
Charles Anderson,ICU,74735,9,1/9/2023
Barbara White,Cardiology,84670,8,1/9/2023
CClerkistopher Harris,Clerk,88717,8,1/9/2023
Daniel Thompson,Neurology,62554,2,1/9/2023
Karen Garcia,Engineering,80608,1,1/9/2023
Betty Robinson,Orthopedics,62772,0,1/9/2023
James Lewis,Emergency Unit,50564,7,1/9/2023
Jessica Lee,Medical-Surgical Unit,93100,8,1/9/2023
David Walker,Gastrology,96182,3,1/9/2023
Laura Young,Dentist,76624,9,1/9/2023
Joseph King,Finance,85113,4,1/9/2023
Karen Wright,Onocology,50184,6,1/9/2023
John Doe,HR Manager,93154,9,1/10/2023
Jane Smith,Pediatrics,98063,7,1/10/2023
Alice Johnson,Receptionist,79447,3,1/10/2023
Emily Davis,Ambulance Driver,81793,5,1/10/2023
Charles Anderson,ICU,82840,7,1/10/2023
Barbara White,Cardiology,60606,4,1/10/2023
CClerkistopher Harris,Clerk,91539,5,1/10/2023
Daniel Thompson,Neurology,88063,1,1/10/2023
Karen Garcia,Engineering,50712,7,1/10/2023
Betty Robinson,Orthopedics,76636,7,1/10/2023
James Lewis,Emergency Unit,58360,5,1/10/2023
Jessica Lee,Medical-Surgical Unit,61750,9,1/10/2023
David Walker,Gastrology,65493,2,1/10/2023
Laura Young,Dentist,95873,1,1/10/2023
Joseph King,Finance,94948,8,1/10/2023
Karen Wright,Onocology,75940,3,1/10/2023
John Doe,HR Manager,75115,6,1/11/2023
Jane Smith,Pediatrics,50711,3,1/11/2023
Alice Johnson,Receptionist,58897,3,1/11/2023
Emily Davis,Ambulance Driver,87768,1,1/11/2023
Charles Anderson,ICU,57453,4,1/11/2023
Barbara White,Cardiology,53068,9,1/11/2023
CClerkistopher Harris,Clerk,52024,8,1/11/2023
Daniel Thompson,Neurology,62804,1,1/11/2023
Karen Garcia,Engineering,71636,2,1/11/2023
Betty Robinson,Orthopedics,52697,5,1/11/2023
James Lewis,Emergency Unit,71201,7,1/11/2023
Jessica Lee,Medical-Surgical Unit,75511,4,1/11/2023
David Walker,Gastrology,57637,7,1/11/2023
Laura Young,Dentist,62895,1,1/11/2023
Joseph King,Finance,80523,7,1/11/2023
Karen Wright,Onocology,96176,9,1/11/2023
John Doe,HR Manager,65843,9,1/12/2023
Jane Smith,Pediatrics,83710,1,1/12/2023
Alice Johnson,Receptionist,84742,0,1/12/2023
Emily Davis,Ambulance Driver,99524,10,1/12/2023
Charles Anderson,ICU,67492,4,1/12/2023
Barbara White,Cardiology,62386,7,1/12/2023
CClerkistopher Harris,Clerk,88904,4,1/12/2023
Daniel Thompson,Neurology,77799,1,1/12/2023
Karen Garcia,Engineering,56584,10,1/12/2023
Betty Robinson,Orthopedics,90785,9,1/12/2023
James Lewis,Emergency Unit,80626,4,1/12/2023
Jessica Lee,Medical-Surgical Unit,76011,2,1/12/2023
David Walker,Gastrology,90953,2,1/12/2023
Laura Young,Dentist,78927,4,1/12/2023
Joseph King,Finance,79410,3,1/12/2023
Karen Wright,Onocology,98548,8,1/12/2023
John Doe,HR Manager,88063,3,1/13/2023
Jane Smith,Pediatrics,65728,3,1/13/2023
Alice Johnson,Receptionist,73224,7,1/13/2023
Emily Davis,Ambulance Driver,57580,2,1/13/2023
Charles Anderson,ICU,81904,10,1/13/2023
Barbara White,Cardiology,92621,8,1/13/2023
CClerkistopher Harris,Clerk,86995,10,1/13/2023
Daniel Thompson,Neurology,81055,0,1/13/2023
Karen Garcia,Engineering,63604,0,1/13/2023
Betty Robinson,Orthopedics,59174,5,1/13/2023
James Lewis,Emergency Unit,76789,9,1/13/2023
Jessica Lee,Medical-Surgical Unit,75748,6,1/13/2023
David Walker,Gastrology,93292,5,1/13/2023
Laura Young,Dentist,53605,5,1/13/2023
Joseph King,Finance,92637,0,1/13/2023
Karen Wright,Onocology,73355,3,1/13/2023
John Doe,HR Manager,66627,9,1/14/2023
Jane Smith,Pediatrics,94485,5,1/14/2023
Alice Johnson,Receptionist,58746,5,1/14/2023
Emily Davis,Ambulance Driver,73719,9,1/14/2023
Charles Anderson,ICU,57986,6,1/14/2023
Barbara White,Cardiology,78432,5,1/14/2023
CClerkistopher Harris,Clerk,55132,5,1/14/2023
Daniel Thompson,Neurology,66212,3,1/14/2023
Karen Garcia,Engineering,55354,3,1/14/2023
Betty Robinson,Orthopedics,70387,2,1/14/2023
James Lewis,Emergency Unit,66888,6,1/14/2023
Jessica Lee,Medical-Surgical Unit,86611,10,1/14/2023
David Walker,Gastrology,87968,2,1/14/2023
Laura Young,Dentist,63064,8,1/14/2023
Joseph King,Finance,66943,9,1/14/2023
Karen Wright,Onocology,69489,10,1/14/2023
John Doe,HR Manager,58851,2,1/15/2023
Jane Smith,Pediatrics,88070,10,1/15/2023
Alice Johnson,Receptionist,94260,10,1/15/2023
Emily Davis,Ambulance Driver,60500,10,1/15/2023
Charles Anderson,ICU,75386,2,1/15/2023
Barbara White,Cardiology,77762,2,1/15/2023
CClerkistopher Harris,Clerk,61713,0,1/15/2023
Daniel Thompson,Neurology,99985,6,1/15/2023
Karen Garcia,Engineering,70031,5,1/15/2023
Betty Robinson,Orthopedics,51280,10,1/15/2023
James Lewis,Emergency Unit,71194,8,1/15/2023
Jessica Lee,Medical-Surgical Unit,92870,6,1/15/2023
David Walker,Gastrology,63695,4,1/15/2023
Laura Young,Dentist,90959,4,1/15/2023
Joseph King,Finance,55888,2,1/15/2023
Karen Wright,Onocology,63422,7,1/15/2023
John Doe,HR Manager,83624,2,1/16/2023
Jane Smith,Pediatrics,75122,9,1/16/2023
Alice Johnson,Receptionist,73922,2,1/16/2023
Emily Davis,Ambulance Driver,69989,3,1/16/2023
Charles Anderson,ICU,81191,1,1/16/2023
Barbara White,Cardiology,58342,9,1/16/2023
CClerkistopher Harris,Clerk,82128,6,1/16/2023
Daniel Thompson,Neurology,56696,8,1/16/2023
Karen Garcia,Engineering,65924,7,1/16/2023
